date,description,category,amount,type,account,payment_method
5/3/2024,Freelance Project Payment,Freelance,930,income,ICICI Savings,UPI
8/8/2022,Equity Purchase,Stocks,4850,expense,HDFC Savings,Card
11/9/2023,SIP Investment,Mutual Fund,12825,expense,HDFC Savings,UPI
1/2/2024,Online Shopping,Shopping,1084,expense,HDFC Savings,UPI
5/2/2023,Travel Booking,Travel,3539,expense,HDFC Savings,Card
7/11/2022,Supermarket Purchase,Groceries,558,expense,ICICI Savings,Card
7/24/2023,Broadband Bill,Internet,973,expense,ICICI Savings,Card
3/9/2024,Equity Purchase,Stocks,14474,expense,HDFC Savings,UPI
1/4/2023,Restaurant Payment,Dining,6347,expense,ICICI Savings,Card
5/29/2022,Restaurant Payment,Dining,1220,expense,HDFC Savings,Card
11/22/2022,Medical Expense,Medical,458,expense,HDFC Savings,NetBanking
10/24/2022,Restaurant Payment,Dining,431,expense,ICICI Savings,Card
5/15/2024,Freelance Project Payment,Freelance,4050,income,ICICI Savings,NetBanking
3/8/2022,SIP Investment,Mutual Fund,11450,expense,HDFC Savings,NetBanking
9/22/2022,Insurance Premium,Insurance,4609,expense,HDFC Savings,NetBanking
7/9/2023,Travel Booking,Travel,223,expense,ICICI Savings,Card
5/3/2024,Broadband Bill,Internet,1391,expense,HDFC Savings,Card
3/23/2022,Electricity Bill,Electricity,2418,expense,ICICI Savings,NetBanking
5/18/2024,Freelance Project Payment,Freelance,6649,income,HDFC Savings,Card
9/30/2023,House Rent,Rent,21463,expense,ICICI Savings,Card
7/14/2023,Online Shopping,Shopping,5250,expense,HDFC Savings,NetBanking
8/19/2023,Online Shopping,Shopping,5905,expense,ICICI Savings,Card
6/3/2023,Online Shopping,Shopping,4846,expense,ICICI Savings,NetBanking
6/6/2024,Freelance Project Payment,Freelance,2881,income,ICICI Savings,NetBanking
9/25/2022,Fuel Station,Fuel,6782,expense,HDFC Savings,UPI
5/8/2022,Insurance Premium,Insurance,1304,expense,HDFC Savings,UPI
5/15/2024,Medical Expense,Medical,6598,expense,ICICI Savings,Card
9/10/2022,Travel Booking,Travel,7808,expense,ICICI Savings,NetBanking
2/15/2022,Fuel Station,Fuel,1128,expense,HDFC Savings,Card
3/22/2022,Online Shopping,Shopping,5793,expense,HDFC Savings,UPI
5/2/2024,Insurance Premium,Insurance,4605,expense,ICICI Savings,UPI
3/8/2023,Fuel Station,Fuel,2236,expense,ICICI Savings,NetBanking
10/26/2023,House Rent,Rent,16638,expense,ICICI Savings,Card
1/17/2023,Insurance Premium,Insurance,657,expense,ICICI Savings,Card
1/8/2022,Monthly Salary Credit,Salary,60811,income,ICICI Savings,UPI
11/2/2022,Broadband Bill,Internet,4954,expense,ICICI Savings,UPI
2/18/2022,Restaurant Payment,Dining,7740,expense,ICICI Savings,Card
11/30/2023,Equity Purchase,Stocks,7488,expense,ICICI Savings,Card
5/25/2023,Online Shopping,Shopping,609,expense,ICICI Savings,Card
9/26/2022,House Rent,Rent,15235,expense,ICICI Savings,Card
3/10/2023,Equity Purchase,Stocks,8966,expense,ICICI Savings,Card
12/15/2022,Broadband Bill,Internet,7511,expense,HDFC Savings,NetBanking
4/7/2023,SIP Investment,Mutual Fund,8054,expense,ICICI Savings,UPI
7/16/2022,SIP Investment,Mutual Fund,11297,expense,HDFC Savings,Card
5/14/2022,Supermarket Purchase,Groceries,7220,expense,ICICI Savings,Card
3/29/2024,Online Shopping,Shopping,7375,expense,ICICI Savings,UPI
5/24/2024,Medical Expense,Medical,1709,expense,ICICI Savings,Card
12/19/2023,Restaurant Payment,Dining,643,expense,HDFC Savings,Card
10/10/2023,Fuel Station,Fuel,5145,expense,ICICI Savings,UPI
2/24/2022,Monthly Salary Credit,Salary,82766,income,ICICI Savings,UPI
5/26/2024,House Rent,Rent,16940,expense,HDFC Savings,UPI
10/29/2022,House Rent,Rent,22404,expense,ICICI Savings,Card
12/12/2023,Medical Expense,Medical,4082,expense,ICICI Savings,Card
5/18/2022,SIP Investment,Mutual Fund,8177,expense,HDFC Savings,Card
1/29/2022,Freelance Project Payment,Freelance,847,income,HDFC Savings,Card
12/28/2023,Freelance Project Payment,Freelance,956,income,ICICI Savings,NetBanking
4/14/2024,Restaurant Payment,Dining,4569,expense,ICICI Savings,UPI
1/7/2022,SIP Investment,Mutual Fund,11795,expense,HDFC Savings,UPI
5/1/2023,Insurance Premium,Insurance,4429,expense,ICICI Savings,Card
12/30/2023,Electricity Bill,Electricity,4777,expense,HDFC Savings,UPI
6/14/2024,Freelance Project Payment,Freelance,1616,income,ICICI Savings,Card
3/15/2024,Monthly Salary Credit,Salary,86277,income,ICICI Savings,Card
5/19/2022,Travel Booking,Travel,3546,expense,ICICI Savings,UPI
10/16/2023,SIP Investment,Mutual Fund,9963,expense,HDFC Savings,UPI
1/18/2024,Freelance Project Payment,Freelance,7732,income,HDFC Savings,UPI
7/28/2022,Broadband Bill,Internet,2258,expense,HDFC Savings,NetBanking
2/17/2024,Electricity Bill,Electricity,3002,expense,HDFC Savings,Card
12/21/2022,Travel Booking,Travel,5022,expense,ICICI Savings,NetBanking
2/19/2022,Electricity Bill,Electricity,4739,expense,ICICI Savings,NetBanking
6/22/2022,Fuel Station,Fuel,2368,expense,HDFC Savings,Card
5/11/2022,Freelance Project Payment,Freelance,5702,income,HDFC Savings,NetBanking
11/29/2022,Restaurant Payment,Dining,3165,expense,ICICI Savings,UPI
2/2/2022,Medical Expense,Medical,7937,expense,ICICI Savings,Card
11/9/2022,Medical Expense,Medical,3209,expense,ICICI Savings,NetBanking
4/24/2023,Fuel Station,Fuel,6260,expense,HDFC Savings,UPI
5/15/2024,Freelance Project Payment,Freelance,1112,income,HDFC Savings,UPI
6/7/2022,Travel Booking,Travel,3865,expense,ICICI Savings,NetBanking
9/22/2023,SIP Investment,Mutual Fund,14976,expense,ICICI Savings,NetBanking
9/28/2023,Travel Booking,Travel,6881,expense,HDFC Savings,Card
3/25/2023,SIP Investment,Mutual Fund,9523,expense,HDFC Savings,UPI
11/12/2023,Restaurant Payment,Dining,5484,expense,HDFC Savings,Card
6/23/2022,Monthly Salary Credit,Salary,66279,income,ICICI Savings,NetBanking
6/23/2022,Equity Purchase,Stocks,4192,expense,ICICI Savings,Card
1/2/2024,Monthly Salary Credit,Salary,81464,income,HDFC Savings,UPI
9/14/2023,SIP Investment,Mutual Fund,9341,expense,HDFC Savings,UPI
9/19/2022,Fuel Station,Fuel,6055,expense,HDFC Savings,UPI
1/31/2023,Insurance Premium,Insurance,6694,expense,HDFC Savings,Card
1/7/2024,Broadband Bill,Internet,4320,expense,HDFC Savings,Card
10/2/2023,Supermarket Purchase,Groceries,2911,expense,HDFC Savings,Card
1/13/2022,Monthly Salary Credit,Salary,88109,income,HDFC Savings,NetBanking
3/12/2022,Travel Booking,Travel,7348,expense,ICICI Savings,Card
5/1/2023,Broadband Bill,Internet,2547,expense,HDFC Savings,Card
12/20/2022,House Rent,Rent,19568,expense,ICICI Savings,Card
11/18/2023,Fuel Station,Fuel,2343,expense,ICICI Savings,Card
2/24/2022,Equity Purchase,Stocks,11711,expense,HDFC Savings,NetBanking
6/19/2024,Fuel Station,Fuel,5839,expense,HDFC Savings,Card
9/10/2023,Insurance Premium,Insurance,1981,expense,ICICI Savings,NetBanking
3/14/2024,Broadband Bill,Internet,1077,expense,HDFC Savings,NetBanking
12/4/2023,Medical Expense,Medical,6390,expense,ICICI Savings,UPI
10/22/2023,Insurance Premium,Insurance,1210,expense,HDFC Savings,NetBanking
4/13/2023,Broadband Bill,Internet,4398,expense,ICICI Savings,NetBanking
1/23/2024,Online Shopping,Shopping,6785,expense,ICICI Savings,NetBanking
6/25/2023,Broadband Bill,Internet,6560,expense,HDFC Savings,NetBanking
9/6/2023,Monthly Salary Credit,Salary,70029,income,ICICI Savings,Card
8/16/2023,Travel Booking,Travel,1288,expense,ICICI Savings,UPI
10/8/2022,Equity Purchase,Stocks,10363,expense,HDFC Savings,Card
1/21/2023,Supermarket Purchase,Groceries,498,expense,HDFC Savings,NetBanking
9/5/2023,Broadband Bill,Internet,6325,expense,ICICI Savings,NetBanking
9/16/2022,House Rent,Rent,19387,expense,HDFC Savings,UPI
5/1/2024,Broadband Bill,Internet,5514,expense,HDFC Savings,NetBanking
4/6/2023,House Rent,Rent,23543,expense,HDFC Savings,UPI
8/5/2023,SIP Investment,Mutual Fund,4690,expense,HDFC Savings,UPI
10/24/2023,Medical Expense,Medical,4703,expense,ICICI Savings,UPI
2/6/2023,Equity Purchase,Stocks,5574,expense,HDFC Savings,UPI
6/14/2023,Equity Purchase,Stocks,11432,expense,HDFC Savings,NetBanking
8/15/2023,Broadband Bill,Internet,7770,expense,HDFC Savings,UPI
5/30/2022,Freelance Project Payment,Freelance,566,income,HDFC Savings,UPI
7/9/2022,Supermarket Purchase,Groceries,1639,expense,HDFC Savings,UPI
3/6/2022,Travel Booking,Travel,4476,expense,ICICI Savings,Card
3/21/2023,Online Shopping,Shopping,1138,expense,HDFC Savings,UPI
6/5/2023,Equity Purchase,Stocks,13344,expense,ICICI Savings,NetBanking
1/31/2023,Freelance Project Payment,Freelance,291,income,HDFC Savings,Card
7/13/2022,Fuel Station,Fuel,3343,expense,HDFC Savings,Card
3/5/2022,Travel Booking,Travel,2127,expense,ICICI Savings,Card
10/28/2023,Supermarket Purchase,Groceries,5452,expense,HDFC Savings,NetBanking
6/7/2023,SIP Investment,Mutual Fund,3776,expense,ICICI Savings,Card
3/8/2023,SIP Investment,Mutual Fund,12016,expense,HDFC Savings,UPI
11/19/2022,Restaurant Payment,Dining,3547,expense,ICICI Savings,NetBanking
3/20/2024,Freelance Project Payment,Freelance,485,income,HDFC Savings,UPI
1/21/2024,SIP Investment,Mutual Fund,3276,expense,ICICI Savings,Card
7/6/2022,Monthly Salary Credit,Salary,72126,income,ICICI Savings,Card
1/31/2024,Insurance Premium,Insurance,3306,expense,ICICI Savings,UPI
12/6/2022,Monthly Salary Credit,Salary,89587,income,HDFC Savings,Card
3/20/2023,Medical Expense,Medical,3394,expense,ICICI Savings,Card
4/5/2022,Freelance Project Payment,Freelance,306,income,ICICI Savings,Card
11/3/2022,Equity Purchase,Stocks,4417,expense,HDFC Savings,NetBanking
5/10/2024,Supermarket Purchase,Groceries,2511,expense,HDFC Savings,Card
7/9/2023,Fuel Station,Fuel,1023,expense,ICICI Savings,NetBanking
4/17/2024,Insurance Premium,Insurance,2402,expense,ICICI Savings,UPI
6/20/2023,Insurance Premium,Insurance,323,expense,ICICI Savings,NetBanking
2/18/2024,Supermarket Purchase,Groceries,3721,expense,ICICI Savings,NetBanking
7/27/2022,Restaurant Payment,Dining,4738,expense,HDFC Savings,Card
7/2/2023,Travel Booking,Travel,4848,expense,ICICI Savings,UPI
2/2/2023,Insurance Premium,Insurance,3961,expense,HDFC Savings,NetBanking
8/28/2022,Broadband Bill,Internet,3750,expense,HDFC Savings,Card
6/26/2023,Medical Expense,Medical,5610,expense,ICICI Savings,NetBanking
3/16/2022,Fuel Station,Fuel,450,expense,ICICI Savings,NetBanking
3/16/2023,House Rent,Rent,20947,expense,ICICI Savings,UPI
8/7/2023,Electricity Bill,Electricity,7546,expense,ICICI Savings,UPI
12/11/2023,Insurance Premium,Insurance,2139,expense,HDFC Savings,UPI
3/31/2022,House Rent,Rent,22071,expense,ICICI Savings,Card
5/19/2024,Medical Expense,Medical,4476,expense,HDFC Savings,Card
1/16/2022,Restaurant Payment,Dining,844,expense,HDFC Savings,NetBanking
1/13/2023,House Rent,Rent,16193,expense,ICICI Savings,Card
12/10/2022,Broadband Bill,Internet,2775,expense,HDFC Savings,Card
5/14/2023,Electricity Bill,Electricity,2582,expense,HDFC Savings,NetBanking
2/5/2024,House Rent,Rent,22999,expense,ICICI Savings,Card
9/9/2023,House Rent,Rent,16222,expense,HDFC Savings,NetBanking
11/21/2023,SIP Investment,Mutual Fund,13567,expense,HDFC Savings,Card
4/5/2022,Insurance Premium,Insurance,6039,expense,ICICI Savings,UPI
3/23/2023,Restaurant Payment,Dining,1650,expense,HDFC Savings,UPI
9/10/2023,Electricity Bill,Electricity,2938,expense,HDFC Savings,Card
2/24/2022,SIP Investment,Mutual Fund,14585,expense,ICICI Savings,NetBanking
1/19/2024,Fuel Station,Fuel,2382,expense,HDFC Savings,UPI
4/23/2024,Broadband Bill,Internet,3039,expense,ICICI Savings,Card
5/13/2023,Equity Purchase,Stocks,3743,expense,ICICI Savings,Card
3/9/2024,Broadband Bill,Internet,1235,expense,HDFC Savings,NetBanking
5/25/2022,House Rent,Rent,21015,expense,ICICI Savings,UPI
12/29/2023,Insurance Premium,Insurance,347,expense,HDFC Savings,UPI
10/10/2023,Online Shopping,Shopping,1998,expense,ICICI Savings,Card
10/9/2022,Monthly Salary Credit,Salary,75052,income,HDFC Savings,UPI
4/27/2024,House Rent,Rent,19562,expense,ICICI Savings,UPI
5/31/2023,House Rent,Rent,24174,expense,ICICI Savings,NetBanking
3/17/2024,Restaurant Payment,Dining,241,expense,HDFC Savings,UPI
5/13/2023,Broadband Bill,Internet,5540,expense,HDFC Savings,UPI
12/7/2023,Restaurant Payment,Dining,6074,expense,ICICI Savings,UPI
4/3/2022,House Rent,Rent,21876,expense,HDFC Savings,Card
7/10/2023,SIP Investment,Mutual Fund,9113,expense,HDFC Savings,Card
3/9/2022,Monthly Salary Credit,Salary,85765,income,ICICI Savings,NetBanking
10/19/2023,Travel Booking,Travel,6369,expense,HDFC Savings,UPI
4/29/2022,Insurance Premium,Insurance,3245,expense,HDFC Savings,NetBanking
7/2/2022,Equity Purchase,Stocks,10599,expense,HDFC Savings,NetBanking
3/30/2022,Fuel Station,Fuel,1723,expense,ICICI Savings,UPI
2/5/2024,Monthly Salary Credit,Salary,84375,income,ICICI Savings,UPI
4/16/2024,Equity Purchase,Stocks,10218,expense,HDFC Savings,NetBanking
5/20/2022,Supermarket Purchase,Groceries,559,expense,HDFC Savings,Card
3/14/2022,SIP Investment,Mutual Fund,10048,expense,ICICI Savings,NetBanking
1/16/2022,Monthly Salary Credit,Salary,75855,income,ICICI Savings,NetBanking
4/29/2024,Medical Expense,Medical,909,expense,ICICI Savings,NetBanking
12/30/2023,Fuel Station,Fuel,5927,expense,ICICI Savings,UPI
4/10/2024,Medical Expense,Medical,1353,expense,ICICI Savings,Card
8/31/2023,Broadband Bill,Internet,4894,expense,HDFC Savings,Card
12/19/2022,House Rent,Rent,24751,expense,ICICI Savings,Card
4/29/2023,SIP Investment,Mutual Fund,4893,expense,ICICI Savings,NetBanking
4/1/2022,Insurance Premium,Insurance,6696,expense,HDFC Savings,Card
7/27/2022,SIP Investment,Mutual Fund,8093,expense,HDFC Savings,UPI
2/29/2024,Travel Booking,Travel,6536,expense,HDFC Savings,UPI
9/22/2022,Fuel Station,Fuel,571,expense,HDFC Savings,Card
3/4/2024,Broadband Bill,Internet,5639,expense,ICICI Savings,UPI
12/3/2023,House Rent,Rent,16125,expense,ICICI Savings,Card
8/7/2022,SIP Investment,Mutual Fund,14933,expense,ICICI Savings,Card
9/20/2022,Broadband Bill,Internet,6458,expense,HDFC Savings,Card
6/11/2024,House Rent,Rent,21892,expense,HDFC Savings,Card
6/1/2024,Restaurant Payment,Dining,4670,expense,ICICI Savings,UPI
2/3/2024,Online Shopping,Shopping,3868,expense,HDFC Savings,NetBanking
7/16/2023,Supermarket Purchase,Groceries,6079,expense,ICICI Savings,Card
7/9/2023,Broadband Bill,Internet,1799,expense,ICICI Savings,UPI
11/22/2022,SIP Investment,Mutual Fund,6733,expense,ICICI Savings,NetBanking
5/20/2024,Restaurant Payment,Dining,3525,expense,HDFC Savings,NetBanking
2/18/2022,Fuel Station,Fuel,2936,expense,HDFC Savings,Card
4/15/2024,Electricity Bill,Electricity,7794,expense,ICICI Savings,NetBanking
2/21/2022,Online Shopping,Shopping,3149,expense,ICICI Savings,NetBanking
12/10/2022,Fuel Station,Fuel,855,expense,ICICI Savings,Card
6/13/2022,Supermarket Purchase,Groceries,4824,expense,HDFC Savings,NetBanking
4/24/2024,Monthly Salary Credit,Salary,79466,income,HDFC Savings,NetBanking
12/8/2022,SIP Investment,Mutual Fund,8317,expense,HDFC Savings,UPI
5/21/2023,Medical Expense,Medical,5933,expense,ICICI Savings,NetBanking
1/29/2022,Medical Expense,Medical,5115,expense,HDFC Savings,UPI
4/13/2022,Freelance Project Payment,Freelance,1020,income,ICICI Savings,NetBanking
2/2/2023,Freelance Project Payment,Freelance,5123,income,HDFC Savings,UPI
12/3/2022,SIP Investment,Mutual Fund,7832,expense,ICICI Savings,NetBanking
2/3/2023,Monthly Salary Credit,Salary,82503,income,HDFC Savings,UPI
10/12/2023,Monthly Salary Credit,Salary,73307,income,ICICI Savings,UPI
11/19/2022,Equity Purchase,Stocks,7391,expense,HDFC Savings,NetBanking
7/1/2022,Monthly Salary Credit,Salary,89260,income,HDFC Savings,NetBanking
5/19/2022,House Rent,Rent,22171,expense,ICICI Savings,NetBanking
1/1/2023,Equity Purchase,Stocks,3975,expense,HDFC Savings,UPI
5/30/2024,Online Shopping,Shopping,6422,expense,HDFC Savings,UPI
11/24/2022,Freelance Project Payment,Freelance,2962,income,HDFC Savings,NetBanking
7/7/2022,Fuel Station,Fuel,6736,expense,ICICI Savings,Card
10/11/2023,Insurance Premium,Insurance,2983,expense,HDFC Savings,Card
10/17/2022,Monthly Salary Credit,Salary,87353,income,ICICI Savings,UPI
2/23/2024,Electricity Bill,Electricity,5968,expense,HDFC Savings,UPI
4/20/2023,Insurance Premium,Insurance,4711,expense,HDFC Savings,Card
12/27/2023,Travel Booking,Travel,5032,expense,ICICI Savings,NetBanking
1/29/2022,Supermarket Purchase,Groceries,5659,expense,HDFC Savings,UPI
1/10/2022,Online Shopping,Shopping,2558,expense,HDFC Savings,Card
3/2/2024,Travel Booking,Travel,299,expense,HDFC Savings,NetBanking
8/16/2023,Freelance Project Payment,Freelance,224,income,ICICI Savings,Card
5/10/2022,Monthly Salary Credit,Salary,88779,income,HDFC Savings,Card
2/16/2022,Broadband Bill,Internet,5210,expense,ICICI Savings,UPI
3/15/2022,Broadband Bill,Internet,2656,expense,HDFC Savings,UPI
11/1/2023,Fuel Station,Fuel,7413,expense,HDFC Savings,NetBanking
1/3/2023,Fuel Station,Fuel,6425,expense,HDFC Savings,Card
12/4/2023,Insurance Premium,Insurance,2989,expense,HDFC Savings,UPI
1/6/2023,Online Shopping,Shopping,778,expense,HDFC Savings,UPI
2/22/2023,Electricity Bill,Electricity,4864,expense,HDFC Savings,NetBanking
1/20/2022,Online Shopping,Shopping,4879,expense,ICICI Savings,NetBanking
3/2/2022,Freelance Project Payment,Freelance,4678,income,ICICI Savings,NetBanking
3/26/2023,Electricity Bill,Electricity,2352,expense,HDFC Savings,NetBanking
9/5/2022,Electricity Bill,Electricity,4303,expense,ICICI Savings,NetBanking
11/28/2023,House Rent,Rent,18568,expense,HDFC Savings,NetBanking
5/18/2024,Restaurant Payment,Dining,2712,expense,ICICI Savings,UPI
1/22/2022,Monthly Salary Credit,Salary,72865,income,ICICI Savings,Card
1/22/2023,SIP Investment,Mutual Fund,5575,expense,ICICI Savings,Card
1/9/2022,Supermarket Purchase,Groceries,1516,expense,ICICI Savings,UPI
3/16/2022,Electricity Bill,Electricity,1940,expense,ICICI Savings,Card
9/19/2022,House Rent,Rent,21408,expense,HDFC Savings,Card
4/19/2022,Electricity Bill,Electricity,4601,expense,ICICI Savings,UPI
8/20/2023,Monthly Salary Credit,Salary,80569,income,HDFC Savings,NetBanking
8/10/2023,Travel Booking,Travel,6582,expense,HDFC Savings,UPI
3/19/2024,Supermarket Purchase,Groceries,2720,expense,ICICI Savings,UPI
3/13/2022,Monthly Salary Credit,Salary,84157,income,HDFC Savings,NetBanking
2/10/2022,Medical Expense,Medical,7532,expense,ICICI Savings,NetBanking
2/17/2022,Fuel Station,Fuel,2201,expense,HDFC Savings,NetBanking
2/22/2024,Broadband Bill,Internet,4752,expense,ICICI Savings,NetBanking
9/17/2022,Supermarket Purchase,Groceries,314,expense,HDFC Savings,UPI
4/1/2022,Online Shopping,Shopping,3416,expense,ICICI Savings,UPI
3/24/2024,House Rent,Rent,15106,expense,ICICI Savings,NetBanking
12/9/2022,Electricity Bill,Electricity,2936,expense,ICICI Savings,Card
5/27/2024,Insurance Premium,Insurance,7250,expense,HDFC Savings,UPI
6/25/2022,Insurance Premium,Insurance,6237,expense,ICICI Savings,Card
6/21/2022,Online Shopping,Shopping,580,expense,HDFC Savings,UPI
3/6/2023,Medical Expense,Medical,6787,expense,HDFC Savings,UPI
12/12/2023,House Rent,Rent,22496,expense,ICICI Savings,Card
6/18/2023,House Rent,Rent,16273,expense,ICICI Savings,Card
4/20/2023,Monthly Salary Credit,Salary,82770,income,HDFC Savings,UPI
4/1/2023,Freelance Project Payment,Freelance,944,income,ICICI Savings,UPI
8/20/2022,Travel Booking,Travel,6359,expense,HDFC Savings,UPI
7/13/2022,Online Shopping,Shopping,5937,expense,HDFC Savings,UPI
10/25/2023,SIP Investment,Mutual Fund,12961,expense,HDFC Savings,UPI
12/28/2022,Broadband Bill,Internet,6636,expense,HDFC Savings,NetBanking
8/10/2023,Electricity Bill,Electricity,6121,expense,HDFC Savings,NetBanking
1/10/2023,Insurance Premium,Insurance,973,expense,ICICI Savings,UPI
3/2/2024,Freelance Project Payment,Freelance,4321,income,ICICI Savings,UPI
7/3/2023,Fuel Station,Fuel,2922,expense,HDFC Savings,NetBanking
8/26/2023,Fuel Station,Fuel,4861,expense,ICICI Savings,NetBanking
4/27/2023,House Rent,Rent,16543,expense,ICICI Savings,NetBanking
6/14/2023,Monthly Salary Credit,Salary,83226,income,HDFC Savings,Card
8/31/2022,Electricity Bill,Electricity,4582,expense,HDFC Savings,UPI
7/15/2023,Online Shopping,Shopping,5186,expense,HDFC Savings,NetBanking
8/19/2023,Electricity Bill,Electricity,7566,expense,HDFC Savings,NetBanking
10/10/2022,Fuel Station,Fuel,7425,expense,ICICI Savings,UPI
11/5/2023,Freelance Project Payment,Freelance,4409,income,HDFC Savings,UPI
1/10/2024,SIP Investment,Mutual Fund,10811,expense,HDFC Savings,UPI
2/25/2022,House Rent,Rent,24030,expense,HDFC Savings,NetBanking
10/29/2022,Broadband Bill,Internet,1244,expense,HDFC Savings,UPI
11/10/2023,House Rent,Rent,15969,expense,ICICI Savings,UPI
10/12/2022,Restaurant Payment,Dining,4191,expense,ICICI Savings,NetBanking
8/5/2022,Travel Booking,Travel,1278,expense,HDFC Savings,UPI
3/8/2023,Fuel Station,Fuel,4929,expense,HDFC Savings,NetBanking
1/11/2022,Medical Expense,Medical,1236,expense,HDFC Savings,UPI
2/6/2022,Medical Expense,Medical,1902,expense,HDFC Savings,Card
1/2/2024,Travel Booking,Travel,1422,expense,HDFC Savings,UPI
5/14/2022,Travel Booking,Travel,3795,expense,ICICI Savings,Card
5/20/2024,House Rent,Rent,16691,expense,HDFC Savings,Card
1/6/2024,Supermarket Purchase,Groceries,539,expense,HDFC Savings,NetBanking
4/6/2022,Online Shopping,Shopping,2948,expense,HDFC Savings,Card
9/17/2022,Online Shopping,Shopping,1814,expense,HDFC Savings,NetBanking
4/24/2024,Monthly Salary Credit,Salary,71286,income,HDFC Savings,Card
4/13/2023,Electricity Bill,Electricity,3115,expense,ICICI Savings,NetBanking
4/9/2022,Insurance Premium,Insurance,4601,expense,HDFC Savings,UPI
2/26/2024,Freelance Project Payment,Freelance,5801,income,HDFC Savings,NetBanking
6/15/2022,Insurance Premium,Insurance,934,expense,ICICI Savings,NetBanking
4/12/2024,Medical Expense,Medical,6280,expense,HDFC Savings,Card
11/2/2022,Online Shopping,Shopping,7287,expense,HDFC Savings,UPI
8/20/2023,Travel Booking,Travel,4549,expense,HDFC Savings,UPI
3/15/2024,Monthly Salary Credit,Salary,68639,income,HDFC Savings,NetBanking
7/9/2023,Equity Purchase,Stocks,7520,expense,HDFC Savings,NetBanking
2/1/2023,Online Shopping,Shopping,1528,expense,HDFC Savings,NetBanking
3/25/2022,SIP Investment,Mutual Fund,6326,expense,HDFC Savings,Card
5/14/2023,Monthly Salary Credit,Salary,76419,income,HDFC Savings,Card
2/20/2023,Broadband Bill,Internet,7448,expense,ICICI Savings,Card
5/11/2024,Online Shopping,Shopping,3972,expense,HDFC Savings,Card
8/28/2022,Travel Booking,Travel,3427,expense,HDFC Savings,UPI
8/8/2023,Broadband Bill,Internet,6787,expense,ICICI Savings,Card
1/6/2023,Monthly Salary Credit,Salary,69935,income,ICICI Savings,Card
11/4/2022,Medical Expense,Medical,496,expense,ICICI Savings,Card
2/5/2023,Supermarket Purchase,Groceries,5810,expense,ICICI Savings,NetBanking
2/28/2024,Supermarket Purchase,Groceries,6075,expense,HDFC Savings,NetBanking
3/3/2023,Fuel Station,Fuel,269,expense,ICICI Savings,NetBanking
9/12/2023,Online Shopping,Shopping,1570,expense,ICICI Savings,UPI
5/13/2022,Equity Purchase,Stocks,5767,expense,ICICI Savings,UPI
3/21/2023,Equity Purchase,Stocks,4924,expense,HDFC Savings,Card
5/31/2022,Restaurant Payment,Dining,1973,expense,ICICI Savings,NetBanking
5/21/2022,Equity Purchase,Stocks,8628,expense,ICICI Savings,Card
11/21/2023,House Rent,Rent,16661,expense,HDFC Savings,NetBanking
1/23/2024,Electricity Bill,Electricity,7975,expense,HDFC Savings,NetBanking
9/30/2023,Online Shopping,Shopping,1408,expense,HDFC Savings,NetBanking
11/15/2022,Equity Purchase,Stocks,14652,expense,HDFC Savings,NetBanking
9/8/2023,Insurance Premium,Insurance,5792,expense,ICICI Savings,Card
8/14/2022,Supermarket Purchase,Groceries,4785,expense,ICICI Savings,UPI
5/18/2022,Travel Booking,Travel,2507,expense,ICICI Savings,UPI
1/10/2023,Medical Expense,Medical,671,expense,ICICI Savings,NetBanking
8/30/2022,Supermarket Purchase,Groceries,2211,expense,ICICI Savings,UPI
4/14/2024,Monthly Salary Credit,Salary,86506,income,HDFC Savings,UPI
3/22/2022,Travel Booking,Travel,7035,expense,ICICI Savings,NetBanking
6/26/2023,Electricity Bill,Electricity,3523,expense,HDFC Savings,Card
1/7/2024,Restaurant Payment,Dining,3229,expense,ICICI Savings,NetBanking
2/4/2023,Travel Booking,Travel,4817,expense,ICICI Savings,Card
12/5/2022,SIP Investment,Mutual Fund,10430,expense,ICICI Savings,NetBanking
12/31/2023,Travel Booking,Travel,6733,expense,ICICI Savings,NetBanking
3/1/2024,Medical Expense,Medical,2948,expense,HDFC Savings,Card
9/3/2022,Online Shopping,Shopping,3236,expense,ICICI Savings,Card
2/7/2023,Online Shopping,Shopping,7828,expense,ICICI Savings,UPI
3/18/2023,Supermarket Purchase,Groceries,7621,expense,ICICI Savings,UPI
3/22/2022,House Rent,Rent,20623,expense,ICICI Savings,Card
1/23/2022,Broadband Bill,Internet,5915,expense,HDFC Savings,NetBanking
12/7/2022,Equity Purchase,Stocks,13130,expense,ICICI Savings,NetBanking
3/31/2022,Equity Purchase,Stocks,8598,expense,HDFC Savings,Card
9/3/2023,House Rent,Rent,20293,expense,ICICI Savings,NetBanking
1/26/2023,Online Shopping,Shopping,2674,expense,ICICI Savings,UPI
4/26/2022,Equity Purchase,Stocks,6924,expense,HDFC Savings,Card
6/9/2024,Restaurant Payment,Dining,1319,expense,HDFC Savings,Card
3/6/2024,Travel Booking,Travel,5021,expense,HDFC Savings,Card
7/5/2022,Online Shopping,Shopping,1203,expense,ICICI Savings,UPI
11/15/2023,Restaurant Payment,Dining,5530,expense,HDFC Savings,UPI
3/22/2024,House Rent,Rent,21806,expense,HDFC Savings,Card
3/6/2024,Fuel Station,Fuel,7459,expense,ICICI Savings,UPI
1/6/2024,SIP Investment,Mutual Fund,3914,expense,ICICI Savings,NetBanking
